width,height,subject_nr,participant_avatar_file,participant_avatar_gender,block_nr,rater_name,rater_file,ratee_type,other_ratee_name,other_ratee_file,liking,trial_nr,positive_left,positive_correct,pos_word,neg_word,correct_word,left_word,right_word,response,choice,chose_positive,accuracy,t_start_experiment,t_start_block,t_start_trial,t_response,likes_on_left,evaluation,t_ask_eval,t_eval_resp,attentional_check1,attentional_check2,avatar_selected_self_file,avatar_selected_other_file
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,18,1,0,practical,impractical,impractical,practical,impractical,0,practical,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,19,1,0,neat,untidy,untidy,neat,untidy,0,neat,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,20,1,0,tolerant,intolerant,intolerant,tolerant,intolerant,0,tolerant,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,1,52,1.75E+12,1.75E+12,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,1,1,0,mature,childish,childish,mature,childish,41,mature,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,2,0,1,exceptional,mediocre,exceptional,mediocre,exceptional,42,mediocre,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,3,0,1,organised,disorganised,organised,disorganised,organised,58,organised,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,4,1,1,versatile,inflexible,versatile,versatile,inflexible,45,versatile,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,5,1,1,caring,indifferent,caring,caring,indifferent,48,caring,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,6,0,0,active,lazy,lazy,lazy,active,27,lazy,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,7,0,1,wise,naive,wise,naive,wise,0,naive,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,8,1,1,sociable,avoidant,sociable,sociable,avoidant,0,sociable,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,9,0,1,friendly,hostile,friendly,hostile,friendly,0,hostile,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,10,0,0,polite,rude,rude,rude,polite,0,rude,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,11,0,1,supportive,critical,supportive,critical,supportive,0,critical,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,12,1,1,confident,self-doubting,confident,confident,self-doubting,0,confident,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,13,0,1,precise,clumsy,precise,clumsy,precise,0,clumsy,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,14,0,1,focused,distracted,focused,distracted,focused,0,distracted,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,15,1,1,generous,greedy,generous,generous,greedy,0,generous,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,16,1,0,trustworthy,untrustworthy,untrustworthy,trustworthy,untrustworthy,0,trustworthy,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,17,0,1,relaxed,tense,relaxed,tense,relaxed,0,tense,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,18,1,1,consistent,inconsistent,consistent,consistent,inconsistent,0,consistent,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,19,1,1,diligent,thoughtless,diligent,diligent,thoughtless,0,diligent,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,5,Joan,female1,you,Tom,male14,like,20,1,1,fun,boring,fun,fun,boring,0,fun,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,1,0,1.75E+12,1.75E+12,100,,,
1440,900,PurpleSleep,male2,m,6,Isaac,male6,other,Tom,male14,like,1,1,0,committed,uncomitted,uncomitted,committed,uncomitted,42,committed,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,0,,
1440,900,PurpleSleep,male2,m,6,Isaac,male6,other,Tom,male14,like,2,0,0,pleasant,obnoxious,obnoxious,obnoxious,pleasant,35,obnoxious,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,0,,
1440,900,PurpleSleep,male2,m,6,Isaac,male6,other,Tom,male14,like,3,0,1,peaceful,argumentative,peaceful,argumentative,peaceful,64,peaceful,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,0,,
1440,900,PurpleSleep,male2,m,6,Isaac,male6,other,Tom,male14,like,4,0,1,lively,inactive,lively,inactive,lively,17,inactive,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,0,,
1440,900,PurpleSleep,male2,m,6,Isaac,male6,other,Tom,male14,like,5,1,1,trusting,suspicious,trusting,trusting,suspicious,62,suspicious,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,0,,
1440,900,PurpleSleep,male2,m,6,Isaac,male6,other,Tom,male14,like,6,0,1,encouraging,negative,encouraging,negative,encouraging,38,negative,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,0,,
1440,900,PurpleSleep,male2,m,6,Isaac,male6,other,Tom,male14,like,7,0,1,responsible,reckless,responsible,reckless,responsible,59,responsible,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,0,,
1440,900,PurpleSleep,male2,m,6,Isaac,male6,other,Tom,male14,like,8,0,0,imaginative,uninventive,uninventive,uninventive,imaginative,20,uninventive,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,0,,
